Wall time,Step,Value
1575485845.321174,0,0.6349265575408936
1575485845.35852,1,0.5716896057128906
1575485845.364877,2,0.6370840668678284
1575485845.447278,3,0.6303176283836365
1575485845.472435,4,0.6511969566345215
1575485845.480196,5,0.6250154376029968
1575485845.566117,6,0.6099882125854492
1575485845.593411,7,0.6024590730667114
1575485845.600811,8,0.6345043182373047
1575485845.69018,9,0.6487250924110413
1575485845.718107,10,0.6174331307411194
1575485845.725421,11,0.5746263265609741
1575485845.814521,12,0.586134672164917
1575485845.841983,13,0.6086764335632324
1575485845.8497899,14,0.6450744271278381
1575485845.938273,15,0.6142959594726562
1575485845.9646668,16,0.6367412805557251
1575485845.972241,17,0.5813949704170227
1575485846.068183,18,0.6336033344268799
1575485846.098441,19,0.6120488047599792
1575485846.106622,20,0.630980908870697
1575485846.1999621,21,0.5987138748168945
1575485846.2273312,22,0.6331276893615723
1575485846.2353458,23,0.6238803863525391
1575485846.3254259,24,0.5926369428634644
1575485846.354284,25,0.6072061061859131
1575485846.362717,26,0.6303913593292236
1575485846.4580228,27,0.5600672364234924
1575485846.487917,28,0.6024153232574463
1575485846.49598,29,0.6018559336662292
1575485846.58656,30,0.6059889793395996
1575485846.614718,31,0.5974849462509155
1575485846.6219032,32,0.6222829818725586
1575485846.7103739,33,0.6238882541656494
1575485846.741098,34,0.5703560709953308
1575485846.749373,35,0.6539232730865479
1575485846.838746,36,0.6191096305847168
1575485846.869479,37,0.616879403591156
1575485846.8772328,38,0.580977201461792
1575485846.9677749,39,0.56378573179245
1575485846.9950132,40,0.6494823098182678
1575485847.002851,41,0.6433703899383545
1575485847.098374,42,0.5962398052215576
1575485847.124367,43,0.6715787053108215
1575485847.132063,44,0.5896177291870117
1575485847.221128,45,0.5781047940254211
1575485847.2476711,46,0.6524360179901123
1575485847.254914,47,0.5859568119049072
1575485847.3427331,48,0.6157388687133789
1575485847.370139,49,0.6057610511779785
1575485847.3773599,50,0.5497569441795349
1575485847.465827,51,0.5913976430892944
1575485847.492435,52,0.6305107474327087
1575485847.499709,53,0.5789714455604553
1575485847.58742,54,0.6246740818023682
1575485847.6175911,55,0.571952223777771
1575485847.625825,56,0.5602329969406128
1575485847.7161899,57,0.6013355851173401
1575485847.7456,58,0.5702253580093384
1575485847.752474,59,0.6247953176498413
1575485847.846841,60,0.6076965928077698
1575485847.875225,61,0.6046687364578247
1575485847.8824801,62,0.5521235466003418
1575485847.972437,63,0.5962545275688171
1575485847.99969,64,0.572120189666748
1575485848.00757,65,0.5923490524291992
1575485848.0964742,66,0.5504310727119446
1575485848.126101,67,0.5735166668891907
1575485848.133591,68,0.6331675052642822
1575485848.22036,69,0.5106828212738037
1575485848.246743,70,0.6675565838813782
1575485848.2546508,71,0.6174625158309937
1575485848.3456929,72,0.5821912288665771
1575485848.3727071,73,0.6124167442321777
1575485848.380747,74,0.5522695183753967
