Wall time,Step,Value
1575513591.703825,0,0.5836032629013062
1575513591.737416,1,0.5403088331222534
1575513591.743314,2,0.563452422618866
1575513591.824849,3,0.5086912512779236
1575513591.846528,4,0.5960063338279724
1575513591.852752,5,0.4481615424156189
1575513591.935721,6,0.5162709355354309
1575513591.958997,7,0.5670290589332581
1575513591.965773,8,0.5027950406074524
1575513592.0481348,9,0.5573805570602417
1575513592.07098,10,0.5860628485679626
1575513592.076993,11,0.4224343001842499
1575513592.1590998,12,0.4758033752441406
1575513592.180966,13,0.5727089643478394
1575513592.187346,14,0.5642524361610413
1575513592.2715452,15,0.48055994510650635
1575513592.2937942,16,0.5863189697265625
1575513592.3005419,17,0.5377225279808044
1575513592.38406,18,0.5474446415901184
1575513592.4060748,19,0.49818238615989685
1575513592.4127738,20,0.5289826393127441
1575513592.497068,21,0.517471969127655
1575513592.521037,22,0.5136711001396179
1575513592.5278091,23,0.7113097310066223
1575513592.6234722,24,0.5547894835472107
1575513592.646274,25,0.5329210162162781
1575513592.6530292,26,0.4936470687389374
1575513592.742822,27,0.5201612710952759
1575513592.770495,28,0.567033588886261
1575513592.777248,29,0.5427752137184143
1575513592.86335,30,0.5449671745300293
1575513592.886461,31,0.5209291577339172
1575513592.893307,32,0.5513989329338074
1575513592.977633,33,0.5325226783752441
1575513592.999987,34,0.510598361492157
1575513593.006281,35,0.560661256313324
1575513593.089476,36,0.5390356779098511
1575513593.113446,37,0.48118168115615845
1575513593.1196349,38,0.6090134382247925
1575513593.203207,39,0.5792467594146729
1575513593.226691,40,0.5265443325042725
1575513593.2333791,41,0.5812715291976929
1575513593.321564,42,0.4807574450969696
1575513593.347696,43,0.5085451602935791
1575513593.354246,44,0.5649914145469666
1575513593.4404109,45,0.4915494918823242
1575513593.4631119,46,0.5564033389091492
1575513593.469783,47,0.5677042603492737
1575513593.5555332,48,0.47910913825035095
1575513593.5787709,49,0.5685403347015381
1575513593.5850759,50,0.5195355415344238
1575513593.668687,51,0.5145969390869141
1575513593.691056,52,0.5725282430648804
1575513593.697576,53,0.4247915744781494
1575513593.783009,54,0.6346518397331238
1575513593.806012,55,0.43512168526649475
1575513593.812397,56,0.5781491994857788
1575513593.8950999,57,0.5738241672515869
1575513593.917269,58,0.5120924115180969
1575513593.923588,59,0.5339615345001221
1575513594.0108092,60,0.5148738026618958
1575513594.0338502,61,0.47309887409210205
1575513594.040202,62,0.5622103214263916
1575513594.1235719,63,0.50144362449646
1575513594.146932,64,0.5305595397949219
1575513594.153286,65,0.5046567320823669
1575513594.236001,66,0.549144983291626
1575513594.259788,67,0.49303561449050903
1575513594.266311,68,0.5087056159973145
1575513594.347189,69,0.45722734928131104
1575513594.3692422,70,0.5640155076980591
1575513594.375989,71,0.5512178540229797
1575513594.4619431,72,0.5244755148887634
1575513594.483936,73,0.5010747313499451
1575513594.490397,74,0.49498024582862854
1575513594.57192,75,0.5058702826499939
1575513594.59444,76,0.5140234231948853
1575513594.601239,77,0.5982165336608887
1575513594.6833842,78,0.4932030439376831
1575513594.70626,79,0.6257165670394897
1575513594.713114,80,0.4827924072742462
1575513594.793335,81,0.553199827671051
1575513594.8156009,82,0.48448657989501953
1575513594.82269,83,0.45650702714920044
1575513594.9036689,84,0.5388554334640503
1575513594.9270458,85,0.4609324634075165
1575513594.933325,86,0.6188433170318604
1575513595.0109818,87,0.539011538028717
1575513595.033098,88,0.4740557074546814
1575513595.03933,89,0.43446964025497437
1575513595.121084,90,0.5583850145339966
1575513595.144188,91,0.4987550675868988
1575513595.1504698,92,0.4571017026901245
1575513595.232289,93,0.4975995421409607
1575513595.254504,94,0.5551509857177734
1575513595.261146,95,0.511996865272522
1575513595.345613,96,0.4867704212665558
1575513595.368799,97,0.5129086375236511
1575513595.375359,98,0.4498879313468933
1575513595.45805,99,0.49719664454460144
1575513595.481579,100,0.4838137924671173
1575513595.4883919,101,0.6297796368598938
1575513595.572681,102,0.5187097787857056
1575513595.595126,103,0.4946918487548828
1575513595.601847,104,0.4450654685497284
1575513595.6845021,105,0.4997747838497162
1575513595.7078788,106,0.4771222174167633
1575513595.714723,107,0.5358471274375916
1575513595.7999308,108,0.5322861075401306
1575513595.822693,109,0.5377039313316345
1575513595.830275,110,0.43476372957229614
1575513595.913693,111,0.5322935581207275
1575513595.936455,112,0.4859171509742737
1575513595.942822,113,0.5250051021575928
1575513596.0258749,114,0.5419758558273315
1575513596.048681,115,0.49340498447418213
1575513596.0551748,116,0.4626491963863373
1575513596.141423,117,0.4474044740200043
1575513596.166896,118,0.4993985593318939
1575513596.1741729,119,0.5316902995109558
1575513596.271272,120,0.5123457908630371
1575513596.293416,121,0.46965187788009644
1575513596.3002439,122,0.506406307220459
1575513596.383042,123,0.4463495910167694
1575513596.405219,124,0.5355759263038635
1575513596.412208,125,0.4059464633464813
1575513596.494359,126,0.4383559226989746
1575513596.5175319,127,0.5561709403991699
1575513596.524214,128,0.4932343661785126
1575513596.6076748,129,0.48806920647621155
1575513596.630204,130,0.46283748745918274
1575513596.636419,131,0.4221031963825226
1575513596.7197142,132,0.5228368043899536
1575513596.743327,133,0.47480103373527527
1575513596.749917,134,0.5505823493003845
1575513596.8320158,135,0.5347449779510498
1575513596.8541498,136,0.4223427474498749
1575513596.86061,137,0.6641426682472229
1575513596.9427469,138,0.4771251678466797
1575513596.9642031,139,0.5051266551017761
1575513596.970747,140,0.5697183012962341
1575513597.05292,141,0.5314984917640686
1575513597.076124,142,0.4839619994163513
1575513597.0831249,143,0.5290136933326721
1575513597.167441,144,0.4999779164791107
1575513597.192214,145,0.45735982060432434
1575513597.198933,146,0.49523869156837463
1575513597.280254,147,0.5158978700637817
1575513597.3026729,148,0.4470469653606415
1575513597.308817,149,0.5876396298408508
