Wall time,Step,Value
1575513787.361038,0,0.5836167335510254
1575513787.393409,1,0.5506134629249573
1575513787.39955,2,0.5509035587310791
1575513787.483453,3,0.5225289463996887
1575513787.507303,4,0.5993145704269409
1575513787.514088,5,0.4601067006587982
1575513787.598753,6,0.5113165378570557
1575513787.621494,7,0.5862042903900146
1575513787.628099,8,0.5202590823173523
1575513787.713562,9,0.5543021559715271
1575513787.737244,10,0.5905775427818298
1575513787.7439091,11,0.43324097990989685
1575513787.83054,12,0.47480669617652893
1575513787.853421,13,0.5679682493209839
1575513787.860428,14,0.5819441080093384
1575513787.945101,15,0.48327314853668213
1575513787.967507,16,0.5803528428077698
1575513787.9743779,17,0.5521377325057983
1575513788.062607,18,0.5624791383743286
1575513788.085502,19,0.49457457661628723
1575513788.0920289,20,0.5183948278427124
1575513788.177035,21,0.5102782845497131
1575513788.198876,22,0.5118265151977539
1575513788.20562,23,0.69122314453125
1575513788.290976,24,0.556008517742157
1575513788.308061,25,0.5492752194404602
1575513788.3200471,26,0.4885888397693634
1575513788.404595,27,0.5222269296646118
1575513788.4281878,28,0.5553073287010193
1575513788.434437,29,0.5358364582061768
1575513788.522385,30,0.5460811257362366
1575513788.545722,31,0.5193125605583191
1575513788.552533,32,0.5658109188079834
1575513788.6377192,33,0.5310934782028198
1575513788.660457,34,0.5173739194869995
1575513788.6672158,35,0.5824782252311707
1575513788.7506728,36,0.5335608124732971
1575513788.7729778,37,0.4889205992221832
1575513788.7795231,38,0.5779197812080383
1575513788.8616362,39,0.578009843826294
1575513788.884022,40,0.5311023592948914
1575513788.8905249,41,0.5964317917823792
1575513788.973511,42,0.47809523344039917
1575513788.995919,43,0.5153735876083374
1575513789.002731,44,0.560213029384613
1575513789.085048,45,0.49267083406448364
1575513789.107164,46,0.5757607817649841
1575513789.11295,47,0.5871616005897522
1575513789.196398,48,0.46281036734580994
1575513789.2183151,49,0.5764847993850708
1575513789.225373,50,0.5477445125579834
1575513789.308887,51,0.5054036974906921
1575513789.3315358,52,0.576930820941925
1575513789.338145,53,0.4406526982784271
1575513789.424104,54,0.6190724968910217
1575513789.446555,55,0.4340088963508606
1575513789.4533708,56,0.5690317749977112
1575513789.5372941,57,0.5796014666557312
1575513789.559881,58,0.5186752676963806
1575513789.566439,59,0.5517170429229736
1575513789.654196,60,0.5171332955360413
1575513789.677356,61,0.4837333858013153
1575513789.6845498,62,0.5825689435005188
1575513789.772056,63,0.5222179889678955
1575513789.795159,64,0.5460571050643921
1575513789.801919,65,0.52132248878479
1575513789.888094,66,0.5805627703666687
1575513789.911364,67,0.5130220651626587
1575513789.918025,68,0.509300172328949
1575513790.0038452,69,0.46465227007865906
1575513790.027207,70,0.5504022836685181
1575513790.033819,71,0.5579581260681152
1575513790.119872,72,0.5293301343917847
1575513790.146579,73,0.5223933458328247
1575513790.153259,74,0.4846935570240021
1575513790.2391732,75,0.49500659108161926
1575513790.262441,76,0.5306998491287231
1575513790.268846,77,0.6144010424613953
1575513790.354649,78,0.512782633304596
1575513790.37762,79,0.5955379009246826
1575513790.384332,80,0.4571170508861542
1575513790.4702961,81,0.5416836142539978
1575513790.494487,82,0.4917865991592407
1575513790.5012858,83,0.4766075909137726
1575513790.586793,84,0.5200231075286865
1575513790.610027,85,0.49809983372688293
1575513790.617517,86,0.5940635204315186
1575513790.703014,87,0.5580792427062988
1575513790.725407,88,0.4767436981201172
1575513790.731692,89,0.43697747588157654
1575513790.81846,90,0.5542615056037903
1575513790.841154,91,0.4983491003513336
1575513790.847003,92,0.4536699652671814
1575513790.9305139,93,0.5211197733879089
1575513790.955992,94,0.5546540021896362
1575513790.9624598,95,0.48277491331100464
1575513791.052562,96,0.5199834108352661
1575513791.085851,97,0.5219655632972717
1575513791.097457,98,0.5026803016662598
1575513791.242974,99,0.5157293677330017
1575513791.278153,100,0.49669313430786133
1575513791.289415,101,0.680020809173584
1575513791.4037912,102,0.531358003616333
1575513791.433294,103,0.4865399897098541
1575513791.4417012,104,0.467380553483963
1575513791.534252,105,0.5068207383155823
1575513791.558741,106,0.47296881675720215
1575513791.566217,107,0.5184146761894226
1575513791.65925,108,0.5433719158172607
1575513791.6851242,109,0.5091333389282227
1575513791.6915588,110,0.44857537746429443
1575513791.784941,111,0.5322961211204529
1575513791.8101618,112,0.527228057384491
1575513791.817451,113,0.4821402430534363
1575513791.908224,114,0.5346202254295349
1575513791.932875,115,0.5062106251716614
1575513791.941899,116,0.48191776871681213
1575513792.036153,117,0.4205877482891083
1575513792.062124,118,0.518258273601532
1575513792.070163,119,0.5659366250038147
1575513792.1682339,120,0.5168042182922363
1575513792.194874,121,0.4887688457965851
1575513792.202003,122,0.4777520000934601
1575513792.2963068,123,0.4645460844039917
1575513792.322164,124,0.5769975781440735
1575513792.329922,125,0.3946545124053955
1575513792.424856,126,0.4423808753490448
1575513792.451366,127,0.5438379049301147
1575513792.458681,128,0.529934823513031
1575513792.546844,129,0.47881847620010376
1575513792.571424,130,0.4860857427120209
1575513792.578198,131,0.4541323184967041
1575513792.668378,132,0.5197992324829102
1575513792.693921,133,0.5043483376502991
1575513792.701619,134,0.5952731966972351
1575513792.792845,135,0.5468716025352478
1575513792.8165529,136,0.4435277581214905
1575513792.823759,137,0.5998674631118774
1575513792.912246,138,0.4907730221748352
1575513792.935554,139,0.5139937400817871
1575513792.942202,140,0.6220355033874512
1575513793.029761,141,0.5315453410148621
1575513793.052918,142,0.5097818374633789
1575513793.0591738,143,0.5121235847473145
1575513793.1508842,144,0.4994800090789795
1575513793.1739469,145,0.4681200683116913
1575513793.1810958,146,0.5547821521759033
1575513793.269151,147,0.5328018069267273
1575513793.2944949,148,0.4587334096431732
1575513793.301304,149,0.5558872222900391
